return_id,order_id,alasan_return,status_return,quantity_return,refund_amount,tanggal_return
RET-2001,ORD-10070,produk tidak cocok di kulit,Pending,1,34000,2024-07-06
RET-2002,ORD-10057,produk tidak cocok,Pending,1,149000,2024-07-27
RET-2003,ORD-10045,iritasi ringan,Pending,3,45000,2024-05-13
RET-2005,ORD-10019,salah varian,Pending,2,65000,2024-07-14
RET-2006,ORD-10125,alergi kandungan produk,Rejected,1,38000,2024-05-11
RET-2007,ORD-10101,berubah pikiran,Pending,2,65000,2024-06-06
RET-2008,ORD-10094,iritasi ringan,Approved,3,45000,2024-05-20
RET-2011,ORD-10003,iritasi ringan,Rejected,1,65000,2024-07-29
RET-2013,ORD-10114,berubah pikiran,Processed,2,45000,2024-03-05
RET-2014,ORD-10124,alergi kandungan produk,Pending,3,25000,2024-05-28
RET-2015,ORD-10120,produk tidak cocok,Processed,1,65000,2024-05-11
RET-2016,ORD-10053,rusak saat pengiriman,Approved,3,34000,2024-06-25
RET-2017,ORD-10012,berubah pikiran,Processed,2,58000,2024-05-30
RET-2018,ORD-10085,iritasi ringan,Pending,1,38000,2024-02-05
RET-2020,ORD-10038,alergi kandungan produk,Pending,3,34000,2024-07-28
RET-2022,ORD-10023,tidak sesuai deskripsi,Approved,2,65000,2024-07-21
RET-2023,ORD-10066,produk tidak cocok di kulit,Pending,1,65000,2024-05-21
RET-2024,ORD-10087,alergi kandungan produk,Pending,1,45000,2024-05-20
RET-2027,ORD-10031,rusak saat pengiriman,Approved,1,65000,2024-01-07
RET-2028,ORD-10074,berubah pikiran,Approved,1,32000,2024-03-06
RET-2030,ORD-10042,produk tidak cocok,Processed,3,149000,2024-06-08
RET-2031,ORD-10089,iritasi ringan,Processed,1,34000,2024-06-15
RET-2032,ORD-10008,lainnya,Pending,3,38000,2024-07-18
RET-2033,ORD-10067,kemasan bocor,Rejected,2,38000,2024-05-26
RET-2035,ORD-10025,rusak saat pengiriman,Rejected,1,45000,2024-06-27
RET-2006,ORD-10125,alergi kandungan produk,Rejected,1,38000,2024-05-11
RET-9999,ORD-99999,kemasan bocor,Pending,1,38000,2024-06-15
